time_in,time_out,side,tag,entry,sl,tp,exit,lots,pnl,r,reason,mae_r,equity_after
2024-03-26 22:45:00,2024-03-28 07:45:00,BUY,FVG-POI,2178.93,2172.6,2200.03,2200.03,0.11,231.33,3.323,TP,0.96,7200.34
2024-04-11 08:30:00,2024-04-11 21:00:00,SELL,OB-CHoCH,2340.92,2358.06,2280.26,2358.06,0.04,-68.86,-1.004,SL,1.24,7131.49
2024-04-16 12:45:00,2024-04-17 23:45:00,BUY,FVG-POI,2372.59,2358.91,2431.44,2358.91,0.05,-68.77,-1.005,SL,1.32,7062.72
2024-04-18 10:30:00,2024-04-19 04:15:00,SELL,OB-CHoCH,2375.28,2394.74,2302.9,2394.74,0.04,-78.14,-1.004,SL,1.13,6984.58
2024-04-19 07:30:00,2024-04-26 12:30:00,SELL,OB-CHoCH,2380.92,2407.49,2280.26,2348.31,0.03,97.62,1.224,time_stop,0.79,7082.2
2024-04-26 20:30:00,2024-04-29 04:00:00,BUY,OB-CHoCH,2339.32,2326.65,2387.68,2326.65,0.06,-76.42,-1.006,SL,1.2,7005.78
2024-04-29 07:30:00,2024-04-30 07:30:00,BUY,OB-CHoCH,2332.55,2325.43,2363.63,2325.43,0.1,-71.9,-1.01,SL,1.07,6933.88
2024-05-02 04:15:00,2024-05-02 11:00:00,SELL,FVG-POI,2322.46,2327.09,2306.97,2306.97,0.15,231.3,3.333,TP,0.67,7165.18
2024-05-06 14:30:00,2024-05-06 15:45:00,SELL,FVG-POI,2316.87,2326.2,2277.38,2326.2,0.08,-75.23,-1.008,SL,1.43,7089.96
2024-05-08 05:45:00,2024-05-08 11:00:00,BUY,FVG-POI,2317.42,2304.84,2363.63,2304.84,0.06,-75.88,-1.006,SL,1.09,7014.07
2024-05-08 21:00:00,2024-05-09 15:30:00,SELL,OB-CHoCH,2312.81,2321.3,2277.38,2321.3,0.08,-68.51,-1.008,SL,1.87,6945.56
2024-05-13 14:45:00,2024-05-13 18:00:00,BUY,FVG-POI,2344.76,2337.0,2370.91,2337.0,0.09,-70.46,-1.009,SL,1.4,6875.11
2024-05-28 13:45:00,2024-05-30 05:30:00,BUY,OB-CHoCH,2345.99,2330.64,2395.09,2330.64,0.04,-61.69,-1.005,SL,1.17,6813.42
2024-05-30 19:00:00,2024-05-31 15:45:00,SELL,FVG-POI,2341.18,2356.31,2277.38,2356.31,0.05,-76.02,-1.005,SL,1.03,6737.4
2024-06-12 06:15:00,2024-06-13 19:00:00,BUY,OB-CHoCH,2316.02,2297.69,2379.32,2297.69,0.04,-73.61,-1.004,SL,1.1,6663.79
2024-06-13 22:30:00,2024-06-20 07:30:00,BUY,FVG-POI,2304.97,2294.59,2339.61,2339.61,0.06,207.42,3.33,TP,0.32,6871.21
2024-06-25 02:00:00,2024-07-02 07:00:00,SELL,FVG-POI,2330.18,2361.15,2228.51,2325.14,0.02,9.94,0.16,time_stop,0.31,6881.15
2024-07-02 11:00:00,2024-07-05 18:30:00,BUY,OB-CHoCH,2331.64,2317.91,2387.69,2387.69,0.05,279.9,4.077,TP,0.91,7161.05
2024-07-08 13:45:00,2024-07-08 18:30:00,BUY,FVG-POI,2374.46,2366.73,2426.59,2366.73,0.09,-70.16,-1.009,SL,1.37,7090.89
