time_in,time_out,side,tag,entry,sl,tp,exit,lots,pnl,r,reason,mae_r,equity_after
2014-06-13 02:15:00,2014-06-13 04:00:00,SELL,SweepEQH,1272.22,1274.91,1261.71,1274.91,0.25,-69.07,-1.026,SL,1.2,6691.67
2014-06-17 03:00:00,2014-06-17 05:00:00,BUY,SweepEQL,1272.97,1270.89,1282.51,1270.89,0.32,-68.72,-1.034,SL,1.16,6622.95
2014-06-17 14:15:00,2014-06-17 16:30:00,SELL,SweepEQH,1263.87,1267.24,1254.56,1267.24,0.2,-68.9,-1.021,SL,1.28,6554.05
2014-06-18 16:00:00,2014-06-18 21:00:00,SELL,SweepEQH,1269.8,1274.5,1254.56,1274.5,0.14,-66.81,-1.015,SL,1.22,6487.24
2014-06-19 04:30:00,2014-06-19 09:30:00,SELL,SweepEQH,1276.84,1279.65,1267.9,1279.65,0.23,-66.18,-1.025,SL,1.21,6421.06
2014-06-27 10:00:00,2014-06-30 20:45:00,SELL,SweepEQH,1318.16,1322.6,1292.15,1322.6,0.14,-63.1,-1.016,SL,2.13,6357.96
2014-07-02 22:00:00,2014-07-03 15:15:00,SELL,SweepEQH,1327.05,1332.19,1312.53,1312.53,0.12,173.4,2.812,TP,0.14,6531.36
2014-07-08 05:45:00,2014-07-08 14:00:00,SELL,SweepEQH,1317.15,1320.45,1306.17,1320.45,0.2,-67.4,-1.021,SL,1.68,6463.96
2014-07-08 17:00:00,2014-07-09 09:15:00,SELL,SweepEQH,1317.54,1325.31,1275.87,1325.31,0.08,-62.75,-1.009,SL,1.09,6401.21
2014-07-11 16:15:00,2014-07-14 14:30:00,SELL,SweepEQH,1333.51,1339.46,1316.3,1316.3,0.11,188.54,2.881,TP,0.92,6589.75
2014-07-16 15:30:00,2014-07-17 18:15:00,BUY,SweepEQL,1299.86,1294.94,1313.59,1313.59,0.13,177.58,2.776,TP,0.67,6767.33
2014-07-21 13:00:00,2014-07-21 16:45:00,BUY,SweepEQL,1315.16,1312.13,1324.53,1312.13,0.22,-68.2,-1.023,SL,1.56,6699.13
2014-07-24 09:45:00,2014-07-24 16:30:00,BUY,SweepEQL,1298.72,1295.5,1309.49,1295.5,0.21,-69.14,-1.022,SL,2.43,6630.0
2014-07-28 10:45:00,2014-07-29 10:45:00,SELL,SweepEQH,1302.05,1309.51,1266.23,1309.51,0.09,-67.77,-1.009,SL,1.21,6562.23
2014-07-31 09:15:00,2014-07-31 15:30:00,BUY,SweepEQL,1294.56,1291.08,1310.46,1291.08,0.19,-67.52,-1.02,SL,2.58,6494.71
2014-08-01 15:30:00,2014-08-07 18:45:00,BUY,SweepEQL,1286.12,1278.74,1310.46,1310.46,0.09,218.43,3.287,TP,0.51,6713.14
2014-08-14 06:15:00,2014-08-14 13:30:00,BUY,SweepEQL,1312.9,1310.19,1322.53,1310.19,0.25,-69.4,-1.026,SL,1.59,6643.74
2014-08-18 21:00:00,2014-08-19 16:45:00,BUY,SweepEQL,1299.6,1295.05,1313.6,1295.05,0.15,-69.29,-1.015,SL,1.04,6574.44
2014-08-20 14:00:00,2014-08-20 21:00:00,BUY,SweepEQL,1295.86,1291.16,1310.02,1291.16,0.14,-66.77,-1.015,SL,1.22,6507.68
2014-08-22 18:15:00,2014-08-29 23:30:00,BUY,SweepEQL,1280.91,1273.42,1302.67,1287.01,0.09,54.27,0.805,time_stop,0.99,6561.95
2014-09-01 05:30:00,2014-09-02 04:15:00,BUY,SweepEQL,1286.82,1284.63,1292.38,1284.63,0.3,-67.83,-1.032,SL,1.89,6494.12
